date,stablecoin_name,price,circulating_supply_usd,total_volume_usd,tvl_global_usd,price_deviation,log_volume,anomaly_score,is_anomaly
2023-01-24,USDT,1.0001300573349,45211361466.700005,34777970359,54253633760.04,0.00013005733489990234,24.272249987643,1,0
2023-01-25,USDT,1.0001749992370603,51015662458.8,39242817276,61218794950.560005,0.00017499923706032483,24.39303426511631,1,0
2023-01-26,USDT,1.000082015991211,45384023517.3,34910787321,54460828220.76,8.20159912109375e-05,24.27606171071652,1,0
2023-01-27,USDT,1.000182032585144,45055476065.6,34658058512,54066571278.71999,0.00018203258514404297,24.268796104460115,1,0
2023-01-28,USDT,1.0001939535140991,31157739002.0,23967491540,37389286802.4,0.0001939535140991211,23.899964229979094,1,0
2023-01-29,USDT,1.0000989437103271,43642187379.700005,33570913369,52370624855.64001,9.894371032714844e-05,24.236925855491968,1,0
2023-01-30,USDT,1.0000929832458496,48332564265.700005,37178895589,57999077118.84,9.298324584960938e-05,24.339007114387552,1,0
2023-01-31,USDT,1.000116944313049,40840974488.6,31416134222,49009169386.32,0.00011694431304909436,24.17058742665379,1,0
2023-02-01,USDT,1.0000979900360107,47695237812.3,36688644471,57234285374.76,9.799003601074219e-05,24.32573312919638,1,0
2023-02-02,USDT,1.0001399517059326,56648354167.6,43575657052,67978025001.12,0.0001399517059326172,24.497764506907775,1,0
2023-02-03,USDT,1.0001310110092163,47829643958.200005,36792033814,57395572749.84,0.0001310110092163086,24.328547186269283,1,0
2023-02-04,USDT,1.000100016593933,31841008150.9,24493083193,38209209781.08,0.00010001659393310547,23.921656596025446,1,0
2023-02-05,USDT,1.0001980066299438,39407640612.6,30313569702,47289168735.12,0.00019800662994384766,24.1348612941926,1,0
2023-02-06,USDT,1.0001020431518557,41714435222.200005,32088027094,50057322266.64001,0.0001020431518556908,24.191748809810466,1,0
2023-02-07,USDT,1.0000770092010498,50938553759.6,39183502892,61126264511.52,7.700920104980469e-05,24.391521650596573,1,0
2023-02-08,USDT,1.0001310110092163,50874034539.9,39133872723,61048841447.88,0.0001310110092163086,24.39025423898446,1,0
2023-02-09,USDT,1.0001590251922607,62264639019.700005,47895876169,74717566823.64,0.0001590251922607422,24.592295245172767,1,0
2023-02-10,USDT,1.0001529455184937,48855536774.200005,37581182134,58626644129.04,0.00015294551849365234,24.3497692869298,1,0
2023-02-11,USDT,1.000162959098816,29644308331.3,22803314101,35573169997.56,0.00016295909881591797,23.850171717694618,1,0
2023-02-12,USDT,1.0002100467681885,32061445317.2,24662650244,38473734380.64,0.00021004676818847656,23.928555800319163,1,0
2023-02-13,USDT,1.000933051109314,53370308728.1,41054083637,64044370473.71999,0.0009330511093139648,24.43815614750731,1,0
2023-02-14,USDT,1.0004040002822876,52487269659.5,40374822815,62984723591.4,0.00040400028228759766,24.421472230021397,1,0
2023-02-15,USDT,1.0002180337905884,57881351191.3,44524116301,69457621429.56,0.0002180337905883789,24.519296818693284,1,0
2023-02-16,USDT,1.000162959098816,74159324149.3,57045633961,88991188979.16,0.00016295909881591797,24.76711738029963,1,0
2023-02-17,USDT,1.0002210140228271,69522484502.90001,53478834233,83426981403.48001,0.00022101402282714844,24.70255179077503,1,0
2023-02-18,USDT,1.000182032585144,40010509462.3,30777314971,48012611354.76,0.00018203258514404297,24.150043728673644,1,0
2023-02-19,USDT,1.000236988067627,51066282086.3,39281755451,61279538503.560005,0.00023698806762695312,24.394026010167273,1,0
2023-02-20,USDT,1.0001870393753052,57724513020.200005,44403471554,69269415624.24,0.00018703937530517578,24.51658349150373,1,0
2023-02-21,USDT,1.0001319646835327,59016825699.0,45397558230,70820190838.8,0.00013196468353271484,24.53872415708918,1,0
2023-02-22,USDT,1.0000989437103271,56947309404.700005,43805622619,68336771285.64,9.894371032714844e-05,24.503028016409683,1,0
2023-02-23,USDT,1.0001239776611328,52953383546.700005,40733371959,63544060256.04,0.0001239776611328125,24.43031354329685,1,0
2023-02-24,USDT,1.0000699758529663,51672124557.3,39747788121,62006549468.76,6.99758529663086e-05,24.405820031768968,1,0
2023-02-25,USDT,1.0001319646835327,32866566077.8,25281973906,39439879293.36,0.00013196468353271484,23.953357484941087,1,0
2023-02-26,USDT,1.000087022781372,30034987321.3,23103836401,36041984785.56,8.702278137207031e-05,23.86326451869339,1,0
2023-02-27,USDT,1.0001749992370603,40522167849.8,31170898346,48626601419.76,0.00017499923706032483,24.16275075119581,1,0
2023-02-28,USDT,1.0001540184020996,38842107627.700005,29878544329,46610529153.240005,0.00015401840209960938,24.120406478822165,1,0
2023-03-01,USDT,1.0001440048217771,44192306980.9,33994082293,53030768377.08,0.0001440048217771217,24.249452296237614,1,0
2023-03-02,USDT,1.0000909566879272,37472335479.8,28824873446,44966802575.76,9.09566879272461e-05,24.08450451270161,1,0
2023-03-03,USDT,1.000100016593933,49071635398.5,37747411845,58885962478.2,0.00010001659393310547,24.354182749920213,1,0
2023-03-04,USDT,1.0001139640808103,23932140579.1,18409338907,28718568694.92,0.00011396408081032483,23.636123922149572,1,0
2023-03-05,USDT,1.0001070499420166,24814608191.1,19088160147,29777529829.320004,0.00010704994201660156,23.67233409225001,1,0
2023-03-06,USDT,1.000010967254639,32157835651.5,24736796655,38589402781.8,1.096725463889392e-05,23.93155771517175,1,0
2023-03-07,USDT,1.000012993812561,40950291112.9,31500223933,49140349335.48,1.2993812561035156e-05,24.173260491768602,1,0
2023-03-08,USDT,1.0000070333480835,40720158313.9,31323198703,48864189976.68,7.033348083496094e-06,24.16762483261147,1,0
2023-03-09,USDT,0.9999859929084778,54149346061.200005,41653343124,64979215273.44,1.4007091522216797e-05,24.452647469444873,1,0
2023-03-10,USDT,1.003046989440918,71748568369.40001,55191206438,86098282043.28001,0.0030469894409179688,24.734069473897982,1,0
2023-03-11,USDT,1.0076899528503418,84549941672.3,65038416671,101459930006.76,0.007689952850341797,24.89824395797821,1,0
2023-03-12,USDT,1.0071489810943604,62974799875.0,48442153750,75569759850.0,0.0071489810943603516,24.603636216884837,1,0
2023-03-13,USDT,1.0038700103759766,94708251220.7,72852500939,113649901464.84,0.0038700103759765625,25.011702698991503,1,0
2023-03-14,USDT,1.0032470226287842,97212001188.9,74778462453,116654401426.68,0.0032470226287841797,25.03779574535862,1,0
2023-03-15,USDT,1.0039459466934204,81348317599.90001,62575628923,97617981119.88,0.00394594669342041,24.859641724936875,1,0
2023-03-16,USDT,1.0021339654922483,60249398254.5,46345690965,72299277905.4,0.002133965492248313,24.559394157344208,1,0
2023-03-17,USDT,1.0023260116577148,80425822877.40001,61866017598,96510987452.88,0.0023260116577148438,24.848236877179893,1,0
2023-03-18,USDT,1.0023369789123535,62056670280.8,47735900216,74468004336.96,0.0023369789123535156,24.588949576854805,1,0
2023-03-19,USDT,1.0030070543289185,57726617474.5,44405090365,69271940969.4,0.003007054328918457,24.516619947695908,1,0
2023-03-20,USDT,1.0017900466918943,70846992979.1,54497686907,85016391574.92,0.0017900466918943092,24.721424095659874,1,0
2023-03-21,USDT,1.0015360116958618,64875798479.700005,49904460369,77850958175.64,0.0015360116958618164,24.633376221881523,1,0
2023-03-22,USDT,1.0018789768218994,65925186783.3,50711682141,79110224139.96,0.001878976821899414,24.6494221380036,1,0
2023-03-23,USDT,1.0009599924087524,51533742872.3,39641340671,61840491446.76,0.0009599924087524414,24.40313836702699,1,0
2023-03-24,USDT,1.0012589693069458,52780389899.9,40600299923,63336467879.88,0.0012589693069458008,24.427041290817453,1,0
2023-03-25,USDT,1.0008480548858645,29307921472.7,22544554979,35169505767.24,0.0008480548858644799,23.83875940943635,1,0
2023-03-26,USDT,1.000892996788025,27860354550.6,21431041962,33432425460.72,0.0008929967880249023,23.788106266948454,1,0
2023-03-27,USDT,1.0002330541610718,37980806167.200005,29216004744,45576967400.64001,0.00023305416107177734,24.097982503769963,1,0
2023-03-28,USDT,1.0003069639205933,35497505894.5,27305773765,42597007073.4,0.0003069639205932617,24.03036401003585,1,0
2023-03-29,USDT,0.9999889731407166,41665021543.6,32050016572,49998025852.32,1.1026859283447266e-05,24.19056353741124,1,0
2023-03-30,USDT,1.0000929832458496,45415691072.700005,34935146979,54498829287.240005,9.298324584960938e-05,24.276759236183995,1,0
2023-03-31,USDT,1.0001239776611328,38752251008.9,29809423853,46502701210.68,0.0001239776611328125,24.11809041717689,1,0
2023-04-01,USDT,1.0003010034561155,25843729862.6,19879792202,31012475835.120003,0.0003010034561155006,23.71296958555482,1,0
2023-04-02,USDT,1.000236988067627,27632043307.7,21255417929,33158451969.24,0.00023698806762695312,23.779877661231463,1,0
2023-04-03,USDT,1.0001829862594604,44122787163.0,33940605510,52947344595.6,0.00018298625946044922,24.247877937223873,1,0
2023-04-04,USDT,1.0002139806747437,37246575215.200005,28651211704,44695890258.240005,0.00021398067474365234,24.07846157258106,1,0
2023-04-05,USDT,1.0001300573349,38186964140.0,29374587800,45824356968.0,0.00013005733489990234,24.103395777005897,1,0
2023-04-06,USDT,1.0005539655685425,30885728833.7,23758252949,37062874600.44,0.0005539655685424805,23.89119579969706,1,0
2023-04-07,USDT,1.0006330013275146,24829558117.0,19099660090,29795469740.4,0.0006330013275146484,23.672936375557917,1,0
2023-04-08,USDT,1.000424027442932,23626453167.2,18174194744,28351743800.64,0.00042402744293190686,23.623268553744854,1,0
2023-04-09,USDT,1.000458002090454,25679823839.8,19753710646,30815788607.76,0.00045800209045410156,23.706607191506905,1,0
2023-04-10,USDT,1.0004370212554932,36319569260.0,27938130200,43583483112.0,0.00043702125549316406,24.053258266595982,1,0
2023-04-11,USDT,1.0010299682617188,39269976648.5,30207674345,47123971978.2,0.00102996826171875,24.13136184646209,1,0
2023-04-12,USDT,1.0007209777832031,39612835008.5,30471411545,47535402010.2,0.000720977783203125,24.14005475463407,1,0
2023-04-13,USDT,1.0009770393371582,40109860594.700005,30853738919,48131832713.64001,0.0009770393371582031,24.152523776712584,1,0
