fecha,crypto_id,open,high,low,close,volume
2024-08-03,ripple,0.55636,0.56622,0.52509,0.52822,27365668.95137432
2024-08-04,ripple,0.52822,0.54005,0.432,0.48869,99059946.4655305
2024-08-05,ripple,0.48869,0.51859,0.47282,0.51081,35912917.09767826
2024-08-06,ripple,0.51081,0.519,0.49221,0.49964,25153327.39401512
2024-08-07,ripple,0.49964,0.64319,0.49722,0.61273,114554666.706236
2024-08-08,ripple,0.61273,0.64227,0.5677,0.573,43236409.27664713
2024-08-09,ripple,0.573,0.6021,0.5718,0.5975,26682471.51650554
2024-08-10,ripple,0.5975,0.6011,0.56288,0.5665,24804463.71994298
2024-08-11,ripple,0.5665,0.5788,0.5455,0.5712,32748879.66092586
2024-08-12,ripple,0.5712,0.5789,0.5601,0.5739,27870891.61049388
2024-08-13,ripple,0.5739,0.5835,0.5641,0.5737,19653176.89960506
2024-08-14,ripple,0.5737,0.5755,0.5624,0.5711,18277839.77969845
2024-08-15,ripple,0.5711,0.5724,0.5509,0.5581,21864746.98493844
2024-08-16,ripple,0.5581,0.569,0.5566,0.5663,21619354.09699954
2024-08-17,ripple,0.5663,0.5838,0.5643,0.5732,20905327.75111941
2024-08-18,ripple,0.5732,0.5897,0.5608,0.5791,18524367.04771707
2024-08-19,ripple,0.5791,0.6147,0.5785,0.5895,24435722.18995141
2024-08-20,ripple,0.5895,0.603,0.5854,0.5921,22730548.06748379
2024-08-21,ripple,0.5921,0.6052,0.59,0.5953,23024442.74134918
2024-08-22,ripple,0.5953,0.6037,0.5909,0.599,23900134.91818831
2024-08-23,ripple,0.599,0.6307,0.5982,0.6195,25874571.47750543
2024-08-24,ripple,0.6195,0.6258,0.5951,0.6024,22444166.69767082
2024-08-25,ripple,0.6024,0.6044,0.5862,0.5925,20657888.59873473
2024-08-26,ripple,0.5925,0.599,0.5787,0.5936,22106706.91244041
2024-08-27,ripple,0.5936,0.6,0.5533,0.5688,28383016.44582627
2024-08-28,ripple,0.5688,0.5777,0.5558,0.5715,22609616.2136436
2024-08-29,ripple,0.5715,0.5763,0.546,0.5481,25035874.98879902
2024-08-30,ripple,0.5481,0.5718,0.5462,0.566,21016468.75272115
2024-08-31,ripple,0.566,0.5679,0.5516,0.5563,21553826.53551705
2024-09-01,ripple,0.5563,0.5615,0.5432,0.5579,22713978.30632334
2024-09-02,ripple,0.5579,0.572,0.5553,0.5588,18413133.51181046
2024-09-03,ripple,0.5588,0.5671,0.5327,0.5619,19255438.97779146
2024-09-04,ripple,0.5619,0.5646,0.5452,0.5457,22150183.84763046
2024-09-05,ripple,0.5457,0.5474,0.5222,0.5259,23939425.87482426
2024-09-06,ripple,0.5259,0.5324,0.5027,0.5309,20002570.92960278
2024-09-07,ripple,0.5309,0.5316,0.5215,0.522,19896318.17445041
2024-09-08,ripple,0.522,0.5339,0.5203,0.529,21811449.45022071
2024-09-09,ripple,0.529,0.5427,0.5288,0.5361,20422464.72314692
2024-09-10,ripple,0.5361,0.5427,0.5228,0.5318,22134078.15266387
2024-09-11,ripple,0.5318,0.5883,0.5315,0.5576,36457091.31855487
2024-09-12,ripple,0.5576,0.5734,0.5546,0.5707,23429137.79129005
2024-09-13,ripple,0.5707,0.5921,0.5662,0.5868,22875916.92736751
2024-09-14,ripple,0.5868,0.599,0.5808,0.5884,22258330.38193016
2024-09-15,ripple,0.5884,0.5888,0.5596,0.5682,19210188.39795124
2024-09-16,ripple,0.5682,0.5932,0.5682,0.5907,21863891.47302257
2024-09-17,ripple,0.5907,0.5907,0.5622,0.5644,20318713.02148863
2024-09-18,ripple,0.5644,0.5928,0.5635,0.5858,21163607.1050741
2024-09-19,ripple,0.5858,0.5943,0.5771,0.5797,23466492.70968338
2024-09-20,ripple,0.5797,0.5879,0.5763,0.5865,15419192.02113315
2024-09-21,ripple,0.5865,0.6121,0.5842,0.5888,21927083.07949683
2024-09-22,ripple,0.5888,0.5957,0.5777,0.5879,16931104.02502081
2024-09-23,ripple,0.5879,0.591,0.5812,0.5832,17613377.65465774
2024-09-24,ripple,0.5832,0.5955,0.5823,0.585,18426804.864729
2024-09-25,ripple,0.585,0.594,0.574,0.5928,17069122.23138633
2024-09-26,ripple,0.5928,0.5966,0.5825,0.5882,19949824.19899676
2024-09-27,ripple,0.5882,0.6245,0.5841,0.6172,26630037.68091419
2024-09-28,ripple,0.6172,0.6646,0.6077,0.6597,28031968.75087132
2024-09-29,ripple,0.6597,0.6613,0.6173,0.6179,29056108.22909762
2024-09-30,ripple,0.6179,0.634,0.5934,0.6118,27936531.04284847
2024-10-01,ripple,0.6118,0.6273,0.5763,0.5847,49258040.71225254
2024-10-02,ripple,0.5847,0.5898,0.507,0.5224,48704037.40042508
2024-10-03,ripple,0.5224,0.5288,0.5117,0.5217,24807834.11151197
2024-10-04,ripple,0.5217,0.5388,0.5211,0.5301,18767603.05477891
2024-10-05,ripple,0.5301,0.5367,0.5258,0.5365,17218926.92585901
2024-10-06,ripple,0.5365,0.5447,0.5294,0.5409,17039329.40789998
2024-10-07,ripple,0.5409,0.5458,0.5209,0.5246,18180034.11381027
2024-10-08,ripple,0.5246,0.5355,0.5232,0.5314,16144057.35350694
2024-10-09,ripple,0.5314,0.5448,0.521,0.5355,20076903.35949696
2024-10-10,ripple,0.5355,0.5408,0.5241,0.5379,19687711.43733779
2024-10-11,ripple,0.5379,0.5429,0.535,0.5412,14512245.6445973
2024-10-12,ripple,0.5412,0.5418,0.5255,0.5278,15438293.87215041
2024-10-13,ripple,0.5278,0.552,0.525,0.5489,15653665.10145971
2024-10-14,ripple,0.5489,0.5553,0.5314,0.5389,24650185.40578949
2024-10-15,ripple,0.5389,0.552,0.5367,0.5474,23490353.14143557
2024-10-16,ripple,0.5474,0.5666,0.5454,0.5533,21420033.05288884
2024-10-17,ripple,0.5533,0.5535,0.5394,0.5457,19659906.67393122
2024-10-18,ripple,0.5457,0.5496,0.5425,0.5441,21007969.6452493
2024-10-19,ripple,0.5441,0.5445,0.5366,0.5443,21200223.19442995
2024-10-20,ripple,0.5443,0.5604,0.5414,0.5461,21957553.18030538
2024-10-21,ripple,0.5461,0.5494,0.5292,0.5334,19472131.46435136
